,제주,경남,경북,전남,전북,충남,충북,강원,경기,세종,울산,대전,광주,인천,대구,부산,서울
2021년 08월 17일,1,25,88,19,60,46,71,57,710,1,41,33,24,72,223,129,560
2021년 08월 16일,1,25,88,19,60,46,71,57,709,1,41,33,24,71,223,128,557
2021년 08월 15일,1,24,88,18,60,46,71,57,705,1,41,33,24,70,223,128,554
2021년 08월 14일,1,24,88,18,60,46,71,57,701,1,41,33,24,70,223,128,550
2021년 08월 13일,1,23,88,18,60,46,71,57,700,1,41,32,24,70,223,128,549
2021년 08월 12일,1,23,88,18,60,46,71,57,698,1,41,31,24,70,223,128,546
2021년 08월 11일,1,23,88,18,60,46,71,57,696,1,41,31,24,69,223,128,546
2021년 08월 10일,1,23,88,18,60,46,71,57,696,1,41,31,24,69,223,128,545
2021년 08월 09일,1,23,87,18,60,46,71,57,692,1,41,31,24,67,223,128,543
2021년 08월 08일,1,23,87,18,60,46,71,57,690,1,41,31,24,66,223,128,542
2021년 08월 07일,1,23,87,18,60,46,71,57,688,1,41,31,24,66,222,128,540
2021년 08월 06일,1,23,87,17,60,46,71,57,687,1,41,30,24,66,222,128,540
2021년 08월 05일,1,23,87,17,60,45,71,56,686,1,41,30,24,66,222,128,539
2021년 08월 04일,1,23,87,17,60,45,71,56,685,1,41,30,24,66,222,128,537
2021년 08월 03일,1,23,87,17,60,45,71,56,684,1,41,30,24,65,222,128,537
2021년 08월 02일,1,22,87,17,60,45,71,56,684,1,41,30,24,64,222,128,535
2021년 08월 01일,1,22,87,17,60,45,71,55,684,1,41,30,24,64,222,128,535
2021년 07월 31일,1,22,87,17,60,45,71,55,683,1,41,30,24,64,222,128,534
2021년 07월 30일,1,22,87,17,60,45,71,55,682,1,41,29,24,62,222,128,532
2021년 07월 29일,1,22,87,17,60,45,71,55,681,1,41,29,24,61,222,127,532
2021년 07월 28일,1,22,87,17,60,45,71,55,680,1,41,29,24,61,222,127,531
2021년 07월 27일,1,22,87,17,60,45,71,55,679,1,41,28,24,61,222,127,529
2021년 07월 26일,1,22,87,17,60,45,71,55,678,1,41,28,24,61,222,127,529
2021년 07월 25일,1,22,87,17,60,44,71,55,674,1,41,28,24,61,222,127,529
2021년 07월 24일,1,22,87,17,60,44,71,55,673,1,40,28,24,61,222,127,528
2021년 07월 23일,1,22,87,17,60,44,71,54,672,1,40,28,24,61,222,127,528
2021년 07월 22일,1,22,87,17,60,44,71,54,669,1,40,28,24,61,222,127,528
2021년 07월 21일,1,22,87,17,60,44,71,54,666,1,40,28,24,61,222,127,528
2021년 07월 20일,1,22,87,17,60,44,71,54,666,1,40,28,24,61,222,127,527
2021년 07월 19일,1,22,87,17,60,44,71,54,666,1,40,28,24,61,222,127,527
