N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
90,GS,"40,800",750,+1.87%,"5,000","37,909","92,915",19.01,"128,665",3.70,-2.82,
91,한미사이언스,"55,400",300,-0.54%,500,"37,287","67,305",1.49,"56,609",68.91,3.47,
92,현대차2우B,"102,000",500,+0.49%,"5,000","37,215","36,485",61.65,"38,313",5.17,N/A,
93,현대오토에버,"130,000",0,0.00%,500,"35,651","27,424",2.08,"103,711",47.19,11.09,
94,GS건설,"41,550",50,+0.12%,"5,000","35,559","85,581",26.44,"238,633",10.12,7.68,
95,메리츠증권,"5,120",20,+0.39%,"1,000","34,905","681,731",13.62,"1,096,925",5.20,13.08,
96,한솔케미칼,"306,500","1,500",-0.49%,"5,000","34,742","11,335",42.65,"40,680",23.91,24.50,
97,한국가스공사,"37,350",300,-0.80%,"5,000","34,479","92,313",10.54,"169,017",7.76,-2.24,
98,한전기술,"89,000","1,900",+2.18%,200,"34,016","38,220",2.45,"268,060",334.59,N/A,
99,한미약품,"276,000",0,0.00%,"2,500","33,336","12,078",13.29,"16,774",43.10,1.65,
100,두산퓨얼셀,"50,300","1,900",+3.93%,100,"32,943","65,494",14.27,"923,694","1,006.00",4.18,
101,롯데지주,"30,950",250,+0.81%,200,"32,469","104,909",8.86,"65,460",16.13,-3.03,
102,GS리테일,"30,750",200,+0.65%,"1,000","32,201","104,718",8.57,"105,649",3.11,7.50,
103,DB하이텍,"71,400",300,+0.42%,"5,000","31,701","44,399",23.54,"682,194",14.92,23.07,
104,TIGER 차이나전기차SOLACTIVE,"19,160",95,-0.49%,0,"31,445","164,120",0.24,"4,770,131",N/A,N/A,
105,동서,"30,350",250,-0.82%,500,"30,259","99,700",2.97,"70,171",28.50,8.61,
106,CJ대한통운,"132,000",500,+0.38%,"5,000","30,112","22,812",21.80,"17,234",102.25,3.89,
107,호텔신라,"76,100",200,-0.26%,"5,000","29,868","39,248",13.15,"176,395",-29.21,-36.74,
108,팬오션,"5,540",160,+2.97%,"1,000","29,615","534,570",11.20,"3,036,005",9.52,3.25,
109,효성첨단소재,"651,000","2,000",-0.31%,"5,000","29,164","4,480",11.68,"34,109",13.58,0.03,
